Comparison_Segment_ID,Sensor_Sat,Sensor,Satellite,Section,Match_Key,Start_Date,End_Date,Start_Day_Label,End_Day_Label,Start_Abs_Day_365,End_Abs_Day_365,Duration_Days,Exact_Category,Dataset_Category,Selection_Flags,NNJA_Active,ERA5_Active,ERA_Interim_Active,NNJA_Codes,ERA5_Codes,ERA_Interim_Codes,ERA_Visible_Colors,NNJA_Source_Kinds,NNJA_Segment_IDs,ERA5_Segment_IDs,ERA_Interim_Segment_IDs,ERA_Extended_Post_2019,Beyond_ERA_Source_Edge,Derived_Replacement_Satellite,Replacement_From,Extension_Action,Validation_Basis,Validation_Source_URLs,ERA_Source_Right_Edge_Day_Label,ERA_Source_Right_Edge_Date_365,ERA_Interim_Period,NNJA_Source_Labels,ERA_Source_Labels,Calendar,Precision_Note
11,GEOS (GOES 12),GEOS,GOES 12,Geostationary radiances,GEOS|GOES 12,2003-04-06,2008-12-16,2003-D096,2008-D350,9221,11300,2080,"ERA5, ERA-Interim","ERA5, ERA-Interim",ERA5; ERA-Interim,False,True,True,,grey_thick,grey_thick,grey,,,7,7,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,GOES 12 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
12,GEOS (GOES 12),GEOS,GOES 12,Geostationary radiances,GEOS|GOES 12,2009-01-24,2009-12-07,2009-D024,2009-D341,11339,11656,318,"ERA5, ERA-Interim","ERA5, ERA-Interim",ERA5; ERA-Interim,False,True,True,,grey_thick,grey_thick,grey,,,8,8,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,GOES 12 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
13,GEOS (GOES 12),GEOS,GOES 12,Geostationary radiances,GEOS|GOES 12,2009-12-08,2009-12-08,2009-D342,2009-D342,11657,11657,1,"ERA5, ERA-Interim","ERA5, ERA-Interim",ERA5; ERA-Interim,False,True,True,,grey_thick,grey_thick; red_thick,grey; red,,,8,6; 8,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,GOES 12 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
14,GEOS (GOES 12),GEOS,GOES 12,Geostationary radiances,GEOS|GOES 12,2009-12-09,2010-04-15,2009-D343,2010-D105,11658,11785,128,ERA-Interim,ERA-Interim,ERA-Interim,False,False,True,,,red_thick,red,,,,6,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,GOES 12 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
15,GEOS (GOES 13),GEOS,GOES 13,Geostationary radiances,GEOS|GOES 13,2010-04-28,2012-09-25,2010-D118,2012-D268,11798,12678,881,"ERA5, ERA-Interim","ERA5, ERA-Interim",ERA5; ERA-Interim,False,True,True,,grey_thick,grey_thick,grey,,,4,4,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,GOES 13 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
16,GEOS (GOES 13),GEOS,GOES 13,Geostationary radiances,GEOS|GOES 13,2012-11-02,2017-12-22,2012-D306,2017-D356,12716,14591,1876,"ERA5, ERA-Interim","ERA5, ERA-Interim",ERA5; ERA-Interim,False,True,True,,grey_thick,grey_thick,grey,,,5,5,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,GOES 13 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
17,GEOS (GOES 15),GEOS,GOES 15,Geostationary radiances,GEOS|GOES 15,2012-04-25,2016-01-07,2012-D115,2016-D007,12525,13877,1353,ERA5,ERA5,ERA5,False,True,False,,green_thick,,green,,,2,,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,GOES 15 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
18,GEOS (GOES 15),GEOS,GOES 15,Geostationary radiances,GEOS|GOES 15,2016-01-19,2019-08-13,2016-D019,2019-D225,13889,15190,1302,"ERA5, ERA-Interim","ERA5, ERA-Interim",ERA5; ERA-Interim,False,True,True,,grey_thick,grey_thick,grey,,,3,3,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,GOES 15 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
19,GEOS (GOES 16),GEOS,GOES 16,Geostationary radiances,GEOS|GOES 16,2018-07-27,2019-09-08,2018-D208,2019-D251,14808,15216,409,"ERA5, ERA-Interim","ERA5, ERA-Interim",ERA5; ERA-Interim,False,True,True,,grey_thick,grey_thick,grey,,,1,1,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,GOES 16 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
20,GEOS (GOES 16),GEOS,GOES 16,Geostationary radiances,GEOS|GOES 16,2019-09-09,2019-09-30,2019-D252,2019-D273,15217,15238,22,"ERA5, ERA-Interim","ERA5, ERA-Interim",ERA5; ERA-Interim,False,True,True,,grey_thick,grey_thick,grey,,,1,1,True,True,False,,era_interim_period_cap; extend_until_primary_replacement,ERA-Interim is active only from 1979-01 through 2019-09; cap applied regardless of ERA5 extension.; GOES-19 replaced GOES-16 as operational GOES-East on 2025-04-07; keep GOES-16 only through the day before replacement.,https://www.goes-r.gov/mission/mission.html,2019-D251,2019-09-08,1979-01-01..2019-09-30,,GOES 16 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
21,GEOS (GOES 16),GEOS,GOES 16,Geostationary radiances,GEOS|GOES 16,2019-10-01,2025-04-06,2019-D274,2025-D096,15239,17251,2013,ERA5,ERA5,ERA5,False,True,False,,grey_thick,,grey,,,1,,True,True,False,,extend_until_primary_replacement,GOES-19 replaced GOES-16 as operational GOES-East on 2025-04-07; keep GOES-16 only through the day before replacement.,https://www.goes-r.gov/mission/mission.html,2019-D251,2019-09-08,1979-01-01..2019-09-30,,GOES 16 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
22,GEOS (GOES 19),GEOS,GOES 19,Geostationary radiances,GEOS|GOES 19,2025-04-07,2025-12-31,2025-D097,2025-D365,17252,17520,269,ERA5,ERA5,ERA5,False,True,False,,grey_thick,,grey,,,1,,True,True,True,GOES 16,derived_primary_replacement,Derived continuation: GOES-19 became operational GOES-East on 2025-04-07.,https://www.goes-r.gov/mission/mission.html,2019-D251,2019-09-08,1979-01-01..2019-09-30,,GOES 19 GEOS Rad. derived,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
23,GEOS (GOES 8),GEOS,GOES 8,Geostationary radiances,GEOS|GOES 8,2001-10-31,2003-04-06,2001-D304,2003-D096,8699,9221,523,"ERA5, ERA-Interim","ERA5, ERA-Interim",ERA5; ERA-Interim,False,True,True,,grey_thick,grey_thick,grey,,,16,16,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,GOES 8 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
24,GEOS (GOES 9),GEOS,GOES 9,Geostationary radiances,GEOS|GOES 9,2003-05-15,2003-07-29,2003-D135,2003-D210,9260,9335,76,"ERA5, ERA-Interim","ERA5, ERA-Interim",ERA5; ERA-Interim,False,True,True,,grey_thick,grey_thick,grey,,,14,14,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,GOES 9 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
25,GEOS (GOES 9),GEOS,GOES 9,Geostationary radiances,GEOS|GOES 9,2003-07-30,2003-07-30,2003-D211,2003-D211,9336,9336,1,"ERA5, ERA-Interim","ERA5, ERA-Interim",ERA5; ERA-Interim,False,True,True,,green_thick; grey_thick,grey_thick,green; grey,,,13; 14,14,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,GOES 9 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
26,GEOS (GOES 9),GEOS,GOES 9,Geostationary radiances,GEOS|GOES 9,2003-07-31,2003-10-27,2003-D212,2003-D300,9337,9425,89,ERA5,ERA5,ERA5,False,True,False,,green_thick,,green,,,13,,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,GOES 9 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
27,GEOS (GOES 9),GEOS,GOES 9,Geostationary radiances,GEOS|GOES 9,2003-10-28,2003-11-09,2003-D301,2003-D313,9426,9438,13,"ERA5, ERA-Interim","ERA5, ERA-Interim",ERA5; ERA-Interim,False,True,True,,green_thick; grey_thick,grey_thick,green; grey,,,13; 15,15,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,GOES 9 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
28,GEOS (GOES 9),GEOS,GOES 9,Geostationary radiances,GEOS|GOES 9,2003-11-10,2005-12-02,2003-D314,2005-D336,9439,10191,753,"ERA5, ERA-Interim","ERA5, ERA-Interim",ERA5; ERA-Interim,False,True,True,,grey_thick,grey_thick,grey,,,15,15,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,GOES 9 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
29,GEOS (METEOSAT 5),GEOS,METEOSAT 5,Geostationary radiances,GEOS|METEOSAT 5,2003-04-19,2003-09-07,2003-D109,2003-D250,9234,9375,142,ERA5,ERA5,ERA5,False,True,False,,green_thick,,green,,,30,,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,METEOSAT 5 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
30,GEOS (METEOSAT 5),GEOS,METEOSAT 5,Geostationary radiances,GEOS|METEOSAT 5,2003-10-28,2003-12-05,2003-D301,2003-D339,9426,9464,39,ERA5,ERA5,ERA5,False,True,False,,green_thick,,green,,,31,,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,METEOSAT 5 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
31,GEOS (METEOSAT 5),GEOS,METEOSAT 5,Geostationary radiances,GEOS|METEOSAT 5,2004-01-12,2004-01-25,2004-D012,2004-D025,9502,9515,14,ERA5,ERA5,ERA5,False,True,False,,green_thick,,green,,,32,,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,METEOSAT 5 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
32,GEOS (METEOSAT 5),GEOS,METEOSAT 5,Geostationary radiances,GEOS|METEOSAT 5,2004-03-30,2006-06-23,2004-D089,2006-D174,9579,10394,816,ERA5,ERA5,ERA5,False,True,False,,green_thick,,green,,,33,,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,METEOSAT 5 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
33,GEOS (METEOSAT 5),GEOS,METEOSAT 5,Geostationary radiances,GEOS|METEOSAT 5,2006-06-24,2006-06-24,2006-D175,2006-D175,10395,10395,1,"ERA5, ERA-Interim","ERA5, ERA-Interim",ERA5; ERA-Interim,False,True,True,,green_thick; grey_thick,grey_thick,green; grey,,,33; 34,34,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,METEOSAT 5 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
34,GEOS (METEOSAT 5),GEOS,METEOSAT 5,Geostationary radiances,GEOS|METEOSAT 5,2006-06-25,2007-02-08,2006-D176,2007-D039,10396,10624,229,"ERA5, ERA-Interim","ERA5, ERA-Interim",ERA5; ERA-Interim,False,True,True,,grey_thick,grey_thick,grey,,,34,34,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,METEOSAT 5 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
35,GEOS (METEOSAT 7),GEOS,METEOSAT 7,Geostationary radiances,GEOS|METEOSAT 7,2001-05-05,2004-05-20,2001-D125,2004-D140,8520,9630,1111,ERA5,ERA5,ERA5,False,True,False,,green_thick,,green,,,26,,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,METEOSAT 7 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
36,GEOS (METEOSAT 7),GEOS,METEOSAT 7,Geostationary radiances,GEOS|METEOSAT 7,2005-01-17,2005-02-24,2005-D017,2005-D055,9872,9910,39,ERA5,ERA5,ERA5,False,True,False,,green_thick,,green,,,27,,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,METEOSAT 7 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
37,GEOS (METEOSAT 7),GEOS,METEOSAT 7,Geostationary radiances,GEOS|METEOSAT 7,2007-02-08,2013-04-29,2007-D039,2013-D119,10624,12894,2271,"ERA5, ERA-Interim","ERA5, ERA-Interim",ERA5; ERA-Interim,False,True,True,,grey_thick,grey_thick,grey,,,29,29,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,METEOSAT 7 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
38,GEOS (METEOSAT 7),GEOS,METEOSAT 7,Geostationary radiances,GEOS|METEOSAT 7,2013-04-30,2013-06-20,2013-D120,2013-D171,12895,12946,52,"ERA5, ERA-Interim","ERA5, ERA-Interim",ERA5; ERA-Interim,False,True,True,,grey_thick,grey_thick; red_thick,grey; red,,,29,28; 29,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,METEOSAT 7 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
39,GEOS (METEOSAT 7),GEOS,METEOSAT 7,Geostationary radiances,GEOS|METEOSAT 7,2013-06-21,2017-03-03,2013-D172,2017-D062,12947,14297,1351,"ERA5, ERA-Interim","ERA5, ERA-Interim",ERA5; ERA-Interim,False,True,True,,grey_thick,grey_thick,grey,,,29,29,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,METEOSAT 7 GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
40,IMAGER (MTSAT-1R),IMAGER,MTSAT-1R,Geostationary radiances,IMAGER|MTSAT-1R,2007-11-29,2009-03-02,2007-D333,2009-D061,10918,11376,459,"ERA5, ERA-Interim","ERA5, ERA-Interim",ERA5; ERA-Interim,False,True,True,,grey_thick,grey_thick,grey,,,46,46,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,MTSAT-1R GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
41,IMAGER (MTSAT-1R),IMAGER,MTSAT-1R,Geostationary radiances,IMAGER|MTSAT-1R,2009-03-03,2009-03-16,2009-D062,2009-D075,11377,11390,14,"ERA5, ERA-Interim","ERA5, ERA-Interim",ERA5; ERA-Interim,False,True,True,,green_thick; grey_thick,grey_thick,green; grey,,,41; 46,46,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,MTSAT-1R GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
42,IMAGER (MTSAT-1R),IMAGER,MTSAT-1R,Geostationary radiances,IMAGER|MTSAT-1R,2009-03-17,2010-08-20,2009-D076,2010-D232,11391,11912,522,"ERA5, ERA-Interim","ERA5, ERA-Interim",ERA5; ERA-Interim,False,True,True,,grey_thick,grey_thick,grey,,,46,46,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,MTSAT-1R GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
43,IMAGER (MTSAT-1R),IMAGER,MTSAT-1R,Geostationary radiances,IMAGER|MTSAT-1R,2010-10-23,2010-12-01,2010-D296,2010-D335,11976,12015,40,ERA-Interim,ERA-Interim,ERA-Interim,False,False,True,,,red_thick,red,,,,44,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,MTSAT-1R GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
44,IMAGER (MTSAT-1R),IMAGER,MTSAT-1R,Geostationary radiances,IMAGER|MTSAT-1R,2011-10-28,2011-12-05,2011-D301,2011-D339,12346,12384,39,ERA-Interim,ERA-Interim,ERA-Interim,False,False,True,,,red_thick,red,,,,45,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,MTSAT-1R GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
45,IMAGER (MTSAT-1R),IMAGER,MTSAT-1R,Geostationary radiances,IMAGER|MTSAT-1R,2012-10-20,2012-12-23,2012-D293,2012-D357,12703,12767,65,ERA5,ERA5,ERA5,False,True,False,,green_thick,,green,,,42,,False,False,False,,pixel_original,Original pixel-derived ERA visible bar.,,2019-D251,2019-09-08,1979-01-01..2019-09-30,,MTSAT-1R GEOS Rad.,365_day_no_leap,Day bins from pixel-derived endpoints; post-2019 ERA5 extensions are validation-capped by platform status and primary replacement events.
